account_id,arr,seat_count,tenure_months,contract_length_months,prior_discount_count,usage_trend_30d,feature_adoption_breadth,seat_utilization,support_tickets_90d,nps_score,treated_discount_offered,renewed,_true_causal_effect_logodds
75,10791.0,16,45,12,0,0.074,0.085,0.671,0,2.2,1,1,0.6087
76,28573.0,18,48,36,1,-0.008,0.206,0.863,2,34.0,1,1,0.4754
77,41532.0,19,42,12,0,-0.371,0.79,0.187,3,14.1,1,0,0.8412
78,11416.0,16,15,12,3,-0.295,0.389,0.779,4,11.5,1,1,1.4846
79,9174.0,21,6,12,2,-1.246,0.302,0.641,2,13.6,1,0,0.1919
80,39365.0,21,55,12,0,-1.802,0.694,0.772,2,45.5,1,0,0.006
81,11260.0,15,29,24,1,2.379,0.284,0.358,2,28.8,1,1,0.0002
82,14500.0,17,51,24,0,-1.274,0.276,0.523,1,44.2,1,1,0.0717
83,8486.0,15,39,12,0,-0.228,0.514,0.704,3,-2.9,0,1,1.0906
84,13531.0,19,10,12,1,0.385,0.748,0.487,3,49.4,1,1,0.7245
85,38459.0,14,34,24,1,0.048,0.074,0.593,2,23.4,1,0,1.3234
86,26866.0,19,41,12,0,0.763,0.439,0.938,0,31.3,1,1,0.261
87,4490.0,14,49,12,1,-0.737,0.719,0.717,1,12.4,1,0,0.3007
88,5580.0,16,10,36,1,0.293,0.356,0.744,4,63.2,1,1,0.8308
89,8314.0,11,17,12,0,0.92,0.149,0.597,4,33.8,1,1,0.2828
90,9139.0,19,38,12,2,-0.598,0.446,0.531,1,53.5,1,1,0.934
91,22558.0,9,47,12,0,0.202,0.236,0.48,2,16.7,0,0,0.4438
92,1765.0,16,17,12,0,0.996,0.193,0.435,3,-25.8,1,1,0.2217
93,38295.0,16,36,12,1,0.97,0.591,0.893,1,18.8,0,1,0.1956
94,4266.0,14,41,12,0,0.913,0.508,0.37,4,32.0,0,1,0.1693
95,30537.0,18,11,12,0,1.135,0.37,0.412,2,37.5,1,1,0.1039
96,3862.0,21,6,12,0,1.259,0.472,0.59,2,-21.1,0,1,0.0456
97,9975.0,15,17,12,2,-0.979,0.147,0.452,1,41.7,1,1,0.6943
98,26145.0,16,14,12,1,0.054,0.633,0.727,3,20.9,1,1,1.3176
99,12394.0,7,13,24,0,1.199,0.88,0.597,2,78.4,1,1,0.0906
100,34363.0,13,28,12,1,-0.661,0.599,0.868,3,19.9,0,0,1.2932
101,114948.0,19,46,24,0,-0.819,0.305,0.672,2,69.5,1,1,0.3604
102,7528.0,14,47,24,0,0.274,0.533,0.623,2,50.2,1,1,0.4066
103,4994.0,10,48,24,1,-0.919,0.373,0.756,2,41.9,1,1,0.2441
104,4194.0,19,10,12,0,-1.18,0.665,0.254,1,52.3,1,1,0.3066
105,3099.0,12,35,36,1,-0.565,0.47,0.858,2,26.1,1,1,1.1428
106,9389.0,13,37,12,1,0.104,0.48,0.417,0,-2.1,1,1,1.0876
107,2846.0,14,31,12,0,0.136,0.265,0.286,2,11.1,1,1,1.3804
108,1103.0,19,30,12,0,1.324,0.608,0.829,2,24.9,0,1,0.066
109,6693.0,17,23,12,0,-0.647,0.597,0.402,0,26.6,1,1,1.3614
110,50971.0,23,39,12,0,-1.219,0.251,0.628,1,56.8,1,1,0.2582
111,15207.0,16,46,12,0,0.736,0.082,0.676,3,-0.6,1,1,0.1819
112,3751.0,15,16,12,0,1.3,0.316,0.676,0,49.5,1,1,0.0687
113,5418.0,11,44,12,0,0.337,0.169,0.57,0,48.4,1,1,0.4959
114,24695.0,16,36,12,2,-1.87,0.332,0.416,2,-23.0,1,0,0.0272
115,14392.0,18,14,12,1,1.497,0.597,0.67,0,22.0,0,1,0.0264
116,8245.0,14,53,12,1,-0.471,0.418,0.646,1,7.5,1,0,0.2509
117,32769.0,19,3,24,2,-0.792,0.725,0.853,2,8.4,0,0,0.4155
118,15645.0,15,12,24,0,0.22,0.529,0.863,4,23.2,1,1,1.0229
119,8409.0,11,34,24,0,0.326,0.261,0.493,2,24.4,0,1,0.9811
120,11906.0,18,44,12,0,0.088,0.753,0.338,0,59.5,1,1,0.6595
121,15806.0,24,15,24,0,-0.251,0.485,0.839,1,13.1,1,1,1.4981
122,37693.0,12,11,24,0,1.208,0.219,0.555,0,41.4,1,1,0.0789
123,4509.0,12,9,24,0,0.71,0.805,0.77,1,13.4,0,1,0.3455
124,10578.0,17,32,12,0,-1.505,0.015,0.737,1,21.6,1,1,0.1466
125,9186.0,11,55,24,0,0.122,0.408,0.82,4,40.2,1,0,0.1841
126,1965.0,10,24,36,1,-0.8,0.524,0.525,1,46.3,1,1,1.0922
127,6518.0,15,30,12,1,-1.53,0.249,0.515,1,62.2,1,1,0.1425
128,2818.0,16,38,24,3,-0.686,0.573,0.668,4,54.5,1,1,0.839
129,13147.0,13,54,36,0,0.852,0.532,0.846,1,25.7,0,1,0.0524
130,9980.0,15,35,24,1,-1.415,0.809,0.552,2,32.6,0,1,0.1771
131,15398.0,20,29,12,0,0.39,0.476,0.818,1,51.1,0,0,1.0502
132,14997.0,21,44,12,0,1.008,0.252,0.363,1,-7.9,1,1,0.0975
133,2784.0,22,6,24,0,0.73,0.647,0.456,2,28.6,1,1,0.2635
134,11706.0,18,24,12,1,-0.806,0.583,0.624,0,3.7,1,1,1.0805
135,17710.0,12,44,24,0,-0.995,0.495,0.792,4,44.1,1,1,0.3078
136,27434.0,19,8,12,1,-0.598,0.108,0.515,3,29.1,1,1,0.8176
137,12055.0,10,12,24,1,-0.502,0.3,0.726,0,-22.7,1,1,1.1516
138,6909.0,15,15,36,0,0.2,0.821,0.464,1,5.2,1,0,1.2036
139,14661.0,19,16,24,0,-0.466,0.133,0.639,1,22.7,0,1,1.4147
140,39288.0,13,59,12,2,1.664,0.763,0.738,3,75.8,1,1,0.0009
141,14617.0,11,14,24,0,-0.147,0.561,0.584,2,41.3,0,1,1.4357
142,2588.0,9,49,12,0,0.334,0.286,0.507,1,51.2,1,0,0.302
143,18491.0,18,9,24,1,-1.052,0.503,0.551,2,34.4,0,0,0.3982
144,12301.0,15,56,24,0,-0.216,0.263,0.917,1,15.7,1,0,0.1849
145,12008.0,15,48,24,1,-1.927,0.58,0.652,0,0.7,1,0,0.008
146,8139.0,14,34,12,2,1.86,0.234,0.29,4,21.5,1,0,0.004
147,12268.0,15,46,24,0,-2.115,0.613,0.782,3,39.3,0,1,0.0038
148,12948.0,12,57,12,2,-0.574,0.627,0.738,4,48.4,1,1,0.1318
149,3263.0,19,51,36,0,-0.892,0.623,0.277,3,26.8,0,1,0.183
150,24340.0,14,6,24,0,-0.436,0.252,0.799,2,16.5,0,0,0.8111
151,9098.0,13,34,12,0,0.349,0.873,0.78,0,9.8,1,1,0.9482
152,10523.0,7,48,12,1,-1.154,0.356,0.602,2,11.7,1,0,0.1412
153,8330.0,15,39,12,5,0.329,0.624,0.61,2,72.5,1,1,0.7405
154,42508.0,16,56,24,1,-1.224,0.215,0.293,3,-11.9,1,0,0.0431
155,29758.0,6,45,24,0,0.014,0.314,0.46,4,36.3,0,1,0.6339
156,44486.0,12,27,12,1,1.095,0.332,0.754,3,41.1,1,1,0.172
157,8971.0,13,19,12,0,-0.179,0.64,0.517,4,50.1,1,1,1.7017
158,3433.0,14,15,24,3,0.754,0.536,0.932,3,23.6,1,1,0.4244
159,9106.0,13,59,24,2,0.054,0.677,0.468,1,-9.8,1,0,0.1082
160,32488.0,14,40,12,0,-0.831,0.522,0.887,3,-13.6,1,0,0.5864
161,36684.0,11,49,12,1,-3.418,0.078,0.7,4,69.9,1,1,0.0
162,5470.0,21,58,24,2,0.23,0.757,0.841,3,29.2,1,0,0.1067
163,36993.0,10,51,12,1,-0.579,0.547,0.505,4,19.2,1,0,0.2918
164,3272.0,13,3,24,1,0.407,0.829,0.344,3,47.7,1,1,0.4052
165,10773.0,18,25,12,0,-0.259,0.649,0.329,0,51.0,1,1,1.7874
166,13007.0,13,58,12,0,0.33,0.197,0.665,0,25.7,1,1,0.0933
167,44943.0,14,23,36,0,0.991,0.813,0.281,1,5.8,1,1,0.2501
168,2179.0,16,31,12,0,0.565,0.42,0.773,1,-3.2,1,1,0.7161
169,3118.0,17,15,24,1,-0.787,0.75,0.209,2,98.4,1,1,0.9322
170,1479.0,14,30,12,1,-0.968,0.688,0.877,3,53.5,1,1,0.7326
171,4735.0,21,33,36,0,0.064,0.345,0.397,4,16.2,1,1,1.3644
172,1871.0,10,24,12,3,0.984,0.687,0.523,1,13.7,1,0,0.2566
173,16372.0,19,20,12,1,-0.552,0.505,0.763,0,-11.2,1,1,1.4627
174,4019.0,13,31,12,1,1.317,0.496,0.4,2,48.4,0,1,0.0661
175,6148.0,19,4,12,0,-0.85,0.314,0.685,4,57.5,1,1,0.4112
176,73671.0,14,3,36,0,-1.076,0.452,0.631,4,39.6,1,0,0.233
177,17630.0,15,13,12,2,0.917,0.123,0.38,2,-1.5,1,1,0.2433
178,6966.0,10,57,24,1,1.37,0.516,0.635,2,13.5,1,1,0.0052
179,18578.0,14,14,24,0,0.042,0.368,0.557,3,19.6,1,1,1.3286
180,20174.0,17,21,24,0,0.17,0.612,0.619,1,-12.0,1,1,1.4588
181,33670.0,20,21,12,1,-0.436,0.399,0.514,1,2.5,1,0,1.6334
182,5909.0,15,53,12,0,-0.391,0.388,0.357,4,12.8,1,1,0.2641
183,14578.0,13,59,36,1,-1.432,0.679,0.32,1,72.4,1,1,0.0144
184,11429.0,14,55,12,1,-0.253,0.664,0.517,2,-15.4,1,0,0.2119
185,10563.0,11,39,24,2,2.121,0.353,0.617,1,37.8,1,1,0.0006
186,7819.0,17,25,12,2,0.333,0.236,0.532,3,21.1,1,1,1.2098
187,24416.0,14,32,12,2,0.293,0.437,0.649,3,2.8,1,1,1.1138
188,22615.0,13,9,12,0,1.694,0.45,0.882,1,7.4,1,1,0.0075
189,2790.0,13,18,24,1,1.191,0.421,0.812,4,71.1,1,1,0.1131
190,6066.0,13,58,24,0,-1.984,0.495,0.636,2,45.9,1,0,0.0017
191,10534.0,15,20,24,0,-1.34,0.328,0.24,1,49.6,0,0,0.2856
192,23838.0,12,23,12,1,-1.166,0.367,0.353,1,24.7,1,0,0.4914
193,14368.0,8,17,12,1,-1.445,0.829,0.492,5,41.5,1,1,0.1872
194,25443.0,14,21,24,0,-0.774,0.439,0.337,1,-0.9,0,0,1.1157
195,9766.0,13,23,24,0,-0.493,0.703,0.691,4,65.5,0,1,1.5943
196,7259.0,17,15,12,0,0.145,0.864,0.454,3,22.3,0,1,1.2746
197,13866.0,15,38,12,0,1.386,0.777,0.453,2,-33.5,0,1,0.0355
198,39116.0,18,49,24,1,-0.178,0.276,0.452,1,5.1,0,0,0.4485
199,6442.0,11,28,24,1,-0.784,0.599,0.909,0,49.5,0,0,1.0812
200,8184.0,11,10,12,0,-0.336,0.681,0.357,1,3.6,1,1,1.1349
201,6111.0,15,50,12,2,0.789,0.304,0.63,3,9.7,1,1,0.1029
202,10595.0,13,45,36,1,0.563,0.334,0.942,2,13.8,1,1,0.3012
203,28059.0,11,18,12,1,-0.676,0.289,0.849,4,46.6,1,0,1.2129
204,11677.0,17,5,12,0,0.202,0.371,0.389,0,37.7,0,1,0.6445
205,9928.0,13,11,36,2,1.514,0.484,0.786,1,0.1,1,1,0.0209
206,8254.0,12,20,12,1,-0.659,0.311,0.177,3,57.9,0,1,1.2962
207,3952.0,14,24,12,1,0.567,0.344,0.651,4,29.2,1,1,0.7958
208,9112.0,9,43,24,1,1.013,0.207,0.775,2,12.9,1,1,0.1046
209,900.0,11,31,12,1,0.222,0.634,0.272,3,39.2,1,1,1.2608
210,14478.0,16,53,24,0,-0.549,0.404,0.718,1,12.8,1,1,0.2346
211,6896.0,21,38,12,1,0.928,0.729,0.575,2,38.7,1,1,0.199
212,18616.0,13,4,12,2,-1.375,0.221,0.128,2,12.5,1,1,0.1089
213,11977.0,12,31,24,1,-1.323,0.33,0.365,1,65.6,1,1,0.2804
214,11189.0,12,46,12,0,-0.873,0.581,0.151,1,-20.0,1,1,0.3272
215,5519.0,18,16,12,4,-0.079,0.691,0.529,3,-28.5,1,1,1.5297
216,27070.0,20,46,12,1,-0.502,0.562,0.339,3,56.9,1,1,0.541
217,26004.0,18,21,12,2,2.308,0.627,0.493,3,9.2,1,0,0.0003
218,3675.0,13,47,36,0,-0.155,0.334,0.754,2,18.3,1,1,0.554
219,13018.0,14,11,12,0,0.174,0.457,0.854,1,52.6,1,1,1.0181
220,46330.0,12,15,24,2,-1.289,0.705,0.597,0,-11.3,1,1,0.2893
221,13812.0,18,13,12,0,1.502,0.171,0.899,0,14.7,1,1,0.0246
222,5013.0,8,46,12,1,0.476,0.031,0.604,2,32.1,1,1,0.3255
223,2165.0,17,9,12,0,-0.579,0.421,0.413,0,55.8,1,1,0.8944
224,40280.0,16,52,12,0,-1.962,0.559,0.718,0,30.9,1,0,0.0042
225,3537.0,13,20,12,1,-0.099,0.512,0.701,3,30.5,1,1,1.7126
226,1936.0,14,35,24,0,0.446,0.866,0.669,4,29.2,1,1,0.7702
227,29763.0,18,59,12,1,-0.376,0.335,0.31,4,27.5,1,1,0.1134
228,19526.0,19,11,12,2,-0.882,0.593,0.68,1,17.7,1,1,0.6485
229,12123.0,8,38,12,0,0.844,0.498,0.98,3,46.3,1,1,0.2563
230,16403.0,13,22,12,1,-0.557,0.618,0.96,2,46.3,1,1,1.4946
231,10602.0,14,55,12,0,1.556,0.564,0.828,2,32.2,1,0,0.0029
232,18120.0,13,35,12,1,0.033,0.321,0.448,0,42.6,1,1,1.2755
233,12373.0,18,16,12,3,-0.099,0.78,0.615,0,-6.3,1,1,1.5393
234,13953.0,11,8,12,0,-0.524,0.2,0.234,1,35.9,0,1,0.8805
235,11896.0,25,50,12,0,0.205,0.309,0.386,4,47.8,1,1,0.319
236,19033.0,19,29,24,0,0.291,0.656,0.938,1,51.8,1,1,1.2186
237,6304.0,17,56,24,0,0.677,0.696,0.734,3,54.6,1,0,0.0636
238,13614.0,14,14,12,1,1.2,0.591,0.938,2,-16.1,1,0,0.0946
239,2429.0,16,45,12,2,-0.283,0.545,0.641,2,24.3,1,1,0.6691
240,7905.0,28,25,12,0,-2.553,0.293,0.471,1,5.1,0,1,0.0008
241,34476.0,14,41,24,0,-1.724,0.583,0.906,1,44.9,0,0,0.0377
242,10505.0,6,35,12,0,1.196,0.044,0.284,2,41.0,1,0,0.092
243,7059.0,18,20,12,3,0.247,0.065,0.78,2,-8.1,0,1,1.3156
244,8396.0,11,11,12,1,-0.76,0.749,0.649,3,43.9,1,1,0.8
245,21896.0,15,46,24,0,-0.408,0.741,0.56,1,20.6,1,1,0.5783
246,5740.0,11,59,12,1,0.742,0.328,0.423,1,39.9,1,1,0.0345
247,54249.0,17,50,12,1,-1.944,0.062,0.419,2,40.2,1,1,0.0059
248,12375.0,11,51,12,3,1.712,0.448,0.927,2,29.9,1,1,0.0022
249,16708.0,12,11,12,1,0.453,0.801,0.804,2,43.5,1,1,0.6844
250,82333.0,15,59,24,2,1.008,0.58,0.568,2,-13.9,0,0,0.0156
251,73088.0,15,11,24,0,-0.783,0.314,0.865,1,-38.8,1,1,0.7708
252,7430.0,17,54,36,0,0.092,0.164,0.657,3,23.0,1,0,0.2163
253,6485.0,13,5,24,0,-0.604,0.805,0.77,0,30.9,1,1,0.6433
254,8832.0,14,17,12,0,0.825,0.21,0.322,0,31.3,1,1,0.3757
255,13815.0,15,3,24,2,-0.037,0.689,0.583,0,55.1,1,1,0.6512
256,34086.0,15,57,24,1,0.856,0.331,0.811,2,31.6,1,1,0.0341
257,5883.0,20,34,12,1,0.288,0.194,0.558,4,74.9,1,1,1.035
258,12074.0,8,22,12,2,0.751,0.102,0.354,1,52.9,1,1,0.5085
259,3764.0,18,46,24,0,-1.755,0.536,0.892,5,30.1,1,1,0.0213
260,42839.0,17,28,36,1,0.722,0.427,0.415,4,76.0,1,1,0.5334
261,35973.0,11,50,24,1,0.152,0.45,0.75,2,28.9,1,1,0.3373
262,1481.0,20,8,12,0,-0.52,0.347,0.854,1,37.5,1,1,0.884
263,14208.0,13,18,12,1,1.112,0.492,0.511,0,18.9,1,1,0.152
264,9501.0,19,8,12,0,-0.035,0.746,0.79,2,24.7,1,1,0.9814
265,13674.0,11,24,12,0,-2.775,0.786,0.626,2,31.9,1,0,0.0002
266,14796.0,18,20,12,1,-0.245,0.086,0.295,4,11.8,0,0,1.7323
267,11517.0,15,42,24,0,1.673,0.3,0.423,5,28.6,0,1,0.0067
268,18090.0,15,19,24,1,0.811,0.602,0.361,4,8.9,1,0,0.4113
269,9722.0,17,6,24,0,-0.008,0.294,0.562,0,93.1,1,1,0.8322
270,38394.0,10,3,12,0,0.559,0.656,0.276,5,2.8,1,1,0.3034
271,30047.0,11,25,12,1,0.819,0.387,0.433,1,-11.0,1,0,0.4242
272,1380.0,14,14,12,0,1.042,0.706,0.776,2,34.7,0,1,0.1693
273,29287.0,12,43,24,1,-1.118,0.322,0.517,2,23.4,0,0,0.2503
274,12867.0,17,32,12,0,-1.447,0.598,0.875,2,22.8,1,1,0.1801
275,4046.0,13,58,12,0,-0.755,0.637,0.338,2,33.1,1,1,0.09
276,8354.0,12,57,12,0,1.485,0.258,0.603,1,44.4,0,0,0.0031
277,16535.0,12,23,12,2,0.606,0.688,0.144,2,37.3,1,0,0.7282
278,32839.0,18,3,12,1,-0.399,0.596,0.265,2,40.9,1,1,0.6395
279,35973.0,9,58,24,1,0.456,0.843,0.747,2,1.1,1,1,0.0759
280,8283.0,12,54,12,2,-0.602,0.285,0.484,3,26.6,0,0,0.1946
281,9990.0,17,20,12,2,0.598,0.23,0.5,3,60.3,1,0,0.7172
282,33369.0,20,47,12,1,-0.674,0.601,0.587,2,35.2,1,1,0.4067
283,12986.0,17,53,24,1,1.241,0.228,0.95,3,45.7,1,1,0.0155
284,8402.0,16,32,12,1,0.089,0.37,0.365,4,-7.3,1,1,1.3907
285,1794.0,22,51,12,0,0.831,0.499,0.404,1,76.5,1,1,0.0815
286,20024.0,15,59,24,0,0.356,0.486,0.509,4,37.5,0,1,0.077
287,16043.0,20,23,24,1,0.437,0.559,0.273,1,38.1,1,1,1.0218
288,8260.0,9,36,12,1,-0.822,0.132,0.307,4,42.8,1,1,0.7632
289,11541.0,17,29,24,0,0.619,0.574,0.79,0,0.2,0,1,0.6701
290,2805.0,18,8,12,1,0.873,0.851,0.486,5,83.1,0,1,0.2062
291,18345.0,15,8,24,0,-1.423,0.276,0.764,2,7.0,1,1,0.1276
292,41049.0,15,19,24,0,-1.18,0.947,0.663,2,27.2,1,1,0.4491
293,31507.0,17,3,36,1,-0.671,0.819,0.891,0,33.0,1,1,0.4963
294,5178.0,17,14,12,0,-0.105,0.506,0.56,4,47.7,1,1,1.4234
295,6075.0,14,25,36,1,0.917,0.414,0.782,0,28.2,1,1,0.3176
296,7121.0,18,11,12,0,-0.002,0.269,0.459,3,10.0,1,1,1.1712
297,7840.0,16,43,12,0,-0.912,0.83,0.897,1,64.7,0,1,0.3991
298,18217.0,19,42,12,1,-0.677,0.442,0.55,1,9.7,1,1,0.6386
299,26227.0,17,56,12,1,0.908,0.286,0.413,2,13.3,1,0,0.0336
300,5747.0,10,13,12,0,-0.024,0.27,0.228,2,54.7,1,1,1.3174
301,7524.0,12,52,24,0,1.696,0.71,0.708,1,16.5,1,1,0.0021
302,3852.0,14,55,12,1,0.342,0.729,0.855,3,25.4,1,1,0.1414
303,102516.0,22,42,12,1,0.122,0.681,0.731,0,79.3,0,1,0.7586
304,4162.0,13,4,12,0,-0.232,0.592,0.604,2,58.8,1,1,0.7389
305,40946.0,16,6,24,0,-0.732,0.076,0.453,3,8.1,1,0,0.5916
306,15449.0,16,6,24,1,0.694,0.653,0.451,2,47.1,1,1,0.289
307,16961.0,9,36,12,1,-0.612,0.78,0.37,0,61.9,1,1,1.0329
308,18942.0,18,48,24,0,-0.356,0.838,0.355,3,45.0,1,1,0.4837
309,6021.0,5,54,12,2,0.023,0.574,0.781,2,70.3,0,1,0.2274
310,28390.0,21,23,12,1,-1.417,0.765,0.193,3,-10.4,1,0,0.2294
311,2968.0,8,4,12,2,-0.53,0.404,0.581,1,18.3,1,1,0.6361
312,8833.0,21,48,24,0,-0.867,0.453,0.915,0,-0.5,1,1,0.2699
313,35819.0,13,56,36,0,1.725,0.445,0.674,1,37.0,1,0,0.0011
314,14664.0,11,13,36,1,0.72,0.568,0.952,2,70.9,0,0,0.4249
315,3854.0,16,6,36,2,-0.737,0.375,0.783,3,2.3,1,0,0.5867
316,6211.0,8,56,24,0,0.732,0.143,0.702,3,34.8,0,1,0.0553
317,6645.0,12,7,36,2,0.803,0.591,0.737,0,-9.9,0,1,0.2342
318,58185.0,28,51,12,0,-0.793,0.638,0.734,1,2.3,0,1,0.2184
319,11668.0,13,5,24,1,-1.044,0.463,0.857,2,22.3,1,0,0.3003
320,12185.0,13,3,12,0,0.076,0.757,0.503,2,30.9,0,0,0.6075
321,21525.0,21,25,12,0,-0.15,0.13,0.105,0,14.5,1,0,1.7898
322,33223.0,19,42,12,0,0.598,0.566,0.517,2,43.3,1,1,0.362
323,11212.0,14,46,36,1,-0.28,0.495,0.29,1,-35.9,1,0,0.6086
